step,epoch,loss,lr
1,1,1.04088557,1e-07
2,1,1.12631631,1e-07
3,1,1.03591955,2e-07
4,1,1.16187882,2e-07
5,1,1.10238874,2e-07
6,1,1.03537762,3e-07
7,1,1.06248319,3e-07
8,1,1.05303490,3e-07
9,1,1.03962612,4e-07
10,1,1.08213592,4e-07
11,1,1.12283826,4e-07
12,1,1.13993406,5e-07
13,1,1.04579544,5e-07
14,1,1.07805991,5e-07
15,1,1.04194164,6e-07
16,1,1.08386326,6e-07
17,1,1.03925586,6e-07
18,1,1.06379390,7e-07
19,1,1.14074194,7e-07
20,1,1.10684192,7e-07
21,1,1.01874161,8e-07
22,1,1.00435519,8e-07
23,1,1.07006586,8e-07
24,1,1.03882492,9e-07
25,1,1.12619448,9e-07
26,1,1.14764774,9e-07
27,1,1.01708746,1e-06
28,1,1.05928874,1e-06
29,1,1.10593700,1e-06
30,1,1.05709112,1.1e-06
31,1,1.04879093,1.1e-06
32,1,1.02459979,1.1e-06
33,1,1.10191858,1.2e-06
34,1,0.99879646,1.2e-06
35,1,1.03534627,1.2e-06
36,1,0.97006392,1.3e-06
37,1,0.95760965,1.3e-06
38,1,1.01641011,1.3e-06
39,1,1.14992833,1.4e-06
40,1,1.01739240,1.4e-06
41,1,1.04251564,1.4e-06
42,1,1.00093436,1.5e-06
43,1,0.96715260,1.5e-06
44,1,1.03442705,1.5e-06
45,1,1.03730905,1.6e-06
46,1,1.03571320,1.6e-06
47,1,1.05022287,1.6e-06
48,1,1.02363205,1.7e-06
49,1,1.06003571,1.7e-06
50,1,0.96813262,1.7e-06
51,1,0.97028732,1.8e-06
52,1,1.03298867,1.8e-06
53,1,0.96223724,1.8e-06
54,1,1.00708759,1.9e-06
55,1,0.97673362,1.9e-06
56,1,1.01999664,1.9e-06
57,1,1.00677919,2e-06
58,1,1.01749218,2e-06
59,1,1.02517450,2e-06
60,1,0.94706458,2.1e-06
61,1,1.09682071,2.1e-06
62,1,1.04828560,2.1e-06
63,1,1.04268205,2.2e-06
64,1,1.00437248,2.2e-06
65,1,0.97594714,2.2e-06
66,1,0.95543599,2.3e-06
67,1,0.98414272,2.3e-06
68,1,0.94849247,2.3e-06
69,1,1.00559497,2.4e-06
70,1,0.98247111,2.4e-06
71,1,0.94832647,2.4e-06
72,1,0.96451497,2.5e-06
73,1,1.01197267,2.5e-06
74,1,0.95409226,2.5e-06
75,1,0.96558678,2.6e-06
76,1,0.97980058,2.6e-06
77,1,0.95338362,2.6e-06
78,1,0.96517181,2.7e-06
79,1,0.93887782,2.7e-06
80,1,0.95226228,2.7e-06
81,1,0.90722275,2.8e-06
82,1,1.11977410,2.8e-06
83,1,0.96546924,2.8e-06
84,1,0.97819448,2.9e-06
85,1,0.92555439,2.9e-06
86,1,1.01845098,2.9e-06
87,1,1.02336216,3e-06
88,1,0.89249659,3e-06
89,1,0.98213047,3e-06
90,1,0.93949914,3.1e-06
91,1,0.96368492,3.1e-06
92,1,0.90307921,3.1e-06
93,1,0.93883502,3.2e-06
94,1,0.97699213,3.2e-06
95,1,0.98173875,3.2e-06
96,1,0.94942468,3.3e-06
97,1,0.99427003,3.3e-06
98,1,0.96924913,3.3e-06
99,1,0.93023765,3.4e-06
100,1,0.95868206,3.4e-06
101,1,0.91525662,3.4e-06
102,1,0.97408170,3.5e-06
103,1,0.95685470,3.5e-06
104,1,0.90756130,3.5e-06
105,1,0.90041465,3.6e-06
106,1,0.95933479,3.6e-06
107,1,0.97815466,3.6e-06
108,1,0.89736575,3.7e-06
109,1,0.93660474,3.7e-06
110,1,0.96047080,3.7e-06
111,1,0.93265027,3.8e-06
112,1,0.92015409,3.8e-06
113,1,0.92601174,3.8e-06
114,1,0.88730115,3.9e-06
115,1,0.95089412,3.9e-06
116,1,0.91570508,3.9e-06
117,1,0.90331620,4e-06
118,1,0.95347798,4e-06
119,1,0.87911487,4e-06
120,1,0.98851693,4.1e-06
121,1,0.86592978,4.1e-06
122,1,0.92475402,4.1e-06
123,1,0.94232905,4.2e-06
124,1,0.94531035,4.2e-06
125,1,0.95539570,4.2e-06
126,1,0.86580104,4.3e-06
127,1,0.86014307,4.3e-06
128,1,0.88716257,4.3e-06
129,1,0.89421356,4.4e-06
130,1,0.86692131,4.4e-06
131,1,0.88338870,4.4e-06
132,1,0.89562881,4.5e-06
133,1,0.92730665,4.5e-06
134,1,0.94589490,4.5e-06
135,1,0.93343747,4.6e-06
136,1,0.85129380,4.6e-06
137,1,0.87183559,4.6e-06
138,1,0.92409861,4.7e-06
139,1,0.86360395,4.7e-06
140,1,0.89352334,4.7e-06
141,1,0.86318254,4.8e-06
142,1,0.83421278,4.8e-06
